fid,crs28992re,avg_woz,1COR_DEN_INDEX_WALK
"117698",E1218N4852,"420","0.93"
"117699",E1219N4852,"368","0.87"
"117700",E1220N4852,"373","0.87"
"117701",E1221N4852,"393","0.87"
"117702",E1222N4852,"405","0.82"
"117704",E1224N4852,"594","0.80"
"117705",E1225N4852,"590","0.80"
"117706",E1226N4852,"368","0.78"
"117707",E1227N4852,"351","0.82"
"117708",E1228N4852,"364","0.87"
"117709",E1229N4852,"388","0.92"
"117710",E1230N4852,"398","1.00"
"117711",E1231N4852,"403","1.00"
"117712",E1232N4852,"439","1.00"
"117713",E1233N4852,"367","0.99"
"117714",E1234N4852,"409","0.99"
"117715",E1235N4852,"509","1.00"
"117716",E1236N4852,"528","1.00"
"117717",E1237N4852,"484","1.00"
"117718",E1238N4852,"549","0.94"
"117719",E1239N4852,"787","0.93"
"117720",E1240N4852,"633","0.89"
"117721",E1241N4852,"683","0.88"
"117722",E1242N4852,"674","0.89"
"117723",E1243N4852,"664","0.90"
"117724",E1244N4852,"670","0.91"
"117725",E1245N4852,"769","0.83"
"117726",E1246N4852,"586","0.78"
"117727",E1247N4852,"570","0.76"
"117728",E1248N4852,"632","0.73"
"117729",E1251N4852,"182","0.53"
"117730",E1252N4852,"192","0.53"
"121510",E1225N4838,"436","0.80"
"121509",E1224N4838,"451","0.86"
"121508",E1223N4838,"416","0.83"
"121507",E1222N4838,"445","0.80"
"121506",E1221N4838,"436","0.80"
"121246",E1226N4839,"406","0.86"
"121245",E1225N4839,"436","0.84"
"121244",E1224N4839,"434","0.82"
"121243",E1223N4839,"405","0.87"
"121242",E1222N4839,"432","0.84"
"121241",E1221N4839,"426","0.80"
"119696",E1228N4845,"351","0.81"
"119695",E1225N4845,"491","0.80"
"119694",E1224N4845,"473","0.81"
"119693",E1223N4845,"464","0.86"
"119692",E1222N4845,"442","0.87"
"119691",E1221N4845,"434","0.87"
"122394",E1231N4834,"395","0.57"
"122185",E1232N4835,"234","0.67"
"122184",E1231N4835,"258","0.67"
"122183",E1230N4835,"607","0.72"
"122182",E1229N4835,"496","0.73"
"121975",E1231N4836,"305","0.67"
"121974",E1230N4836,"593","0.72"
"121973",E1229N4836,"506","0.73"
"121972",E1228N4836,"594","0.73"
"121753",E1233N4837,"822","0.67"
"121752",E1232N4837,"370","0.67"
"121751",E1231N4837,"387","0.67"
"121750",E1230N4837,"942","0.72"
"121747",E1223N4837,"474","0.80"
"121746",E1222N4837,"408","0.80"
"121745",E1221N4837,"453","0.77"
"122822",E1236N4832,"176","0.44"
"119697",E1232N4845,"506","0.89"
"119958",E1232N4844,"437","0.85"
"119698",E1233N4845,"466","0.92"
"119959",E1233N4844,"417","0.87"
"120216",E1233N4843,"499","0.77"
"119699",E1234N4845,"562","0.93"
"119960",E1234N4844,"564","0.87"
"119700",E1238N4845,"276","0.93"
"119961",E1238N4844,"422","0.88"
"120218",E1238N4843,"929","0.76"
"119701",E1239N4845,"267","0.89"
"119962",E1239N4844,"267","0.84"
"120219",E1239N4843,"386","0.72"
"119702",E1240N4845,"254","0.87"
"119963",E1240N4844,"265","0.81"
"120220",E1240N4843,"267","0.69"
"120485",E1240N4842,"390","0.67"
"119703",E1241N4845,"449","0.82"
"119964",E1241N4844,"247","0.76"
"120221",E1241N4843,"241","0.64"
"120486",E1241N4842,"305","0.62"
"120748",E1241N4841,"313","0.60"
"119704",E1242N4845,"337","0.79"
"119965",E1242N4844,"335","0.73"
"120222",E1242N4843,"340","0.60"
"120487",E1242N4842,"368","0.60"
"119705",E1243N4845,"697","0.74"
"119966",E1243N4844,"418","0.72"
"120223",E1243N4843,"343","0.60"
"119706",E1244N4845,"691","0.73"
"119967",E1244N4844,"455","0.68"
"119707",E1245N4845,"636","0.69"
"121249",E1233N4839,"533","0.67"
"121250",E1234N4839,"544","0.67"
"121251",E1235N4839,"557","0.67"
"121252",E1236N4839,"340","0.67"
"121253",E1237N4839,"325","0.67"
"119968",E1246N4844,"446","0.65"
"119708",E1246N4845,"562","0.67"
"121512",E1232N4838,"632","0.67"
"121514",E1234N4838,"647","0.68"
"121515",E1235N4838,"423","0.69"
"121517",E1246N4838,"507","0.55"
"125221",E1244N4820,"534","0.53"
"123273",E1243N4830,"297","0.53"
"123044",E1244N4831,"343","0.59"
"123045",E1245N4831,"351","0.60"
"127942",E1251N4806,"222","0.66"
"127733",E1252N4807,"217","0.68"
"127943",E1252N4806,"219","0.68"
"128360",E1252N4804,"217","0.69"
"127521",E1253N4808,"215","0.73"
"127316",E1253N4809,"100","0.72"
"127734",E1253N4807,"211","0.73"
"128145",E1253N4805,"216","0.73"
"128361",E1253N4804,"225","0.73"
"128577",E1253N4803,"241","0.73"
"129043",E1253N4801,"125","0.69"
"127522",E1254N4808,"214","0.73"
"127317",E1254N4809,"209","0.73"
"127735",E1254N4807,"219","0.73"
